,Mean,Lower CI,Upper CI
English JS,3.9210526315789473,3.5109841353727953,4.331121127785099
Judaics IC,3.142857142857143,0.6140862543802994,5.671628031333986
Judaics AM,6.0,,
Judaics RO,5.5,4.949662093784491,6.050337906215509
Math TH,5.375,4.552364477582809,6.197635522417191
Math RP,5.782608695652174,5.464395432796778,6.10082195850757
Math CS,3.193548387096774,2.2684126841656482,4.1186840900279
Math LS,4.230769230769231,2.648144902700647,5.813393558837815
History MS,4.5,3.5731390667160294,5.426860933283971
History BW,5.0,-7.706204736432095,17.706204736432095
Science SF,5.567164179104478,5.322419006430681,5.811909351778275
Science VG,6.0,,
Science JK,5.0,,
Science AR,3.7857142857142856,2.8201369861738828,4.751291585254688
SPE average,4.682352941176471,4.376929882307535,4.9877760000454066
PreACT Composite Percentile PreACT,70.78048780487805,65.26785915918275,76.29311645057335
PreACT Reading PreACT,71.0625,64.90824538698733,77.21675461301267
PreACT English Percentile PreACT,76.04166666666667,72.1741589439545,79.90917438937885
PreACT Math Percentile PreACT,68.28,62.16898129404399,74.39101870595601
PreACT Science Percentile PreACT,62.90243902439025,55.1388100680046,70.66606798077589
PSAT Percentile Total,76.48192771084338,71.95010247720899,81.01375294447777
PSAT EBRW percentile,76.87951807228916,72.71489004460616,81.04414609997215
PSAT Math Percentile,72.65060240963855,67.35109105684424,77.95011376243286
